Timestamp (UTC),Transaction Description,Currency,Amount,To Currency,To Amount,Native Currency,Native Amount,Native Amount (in USD),Transaction Kind,Transaction Hash
2022-07-08 14:13:21,Buy CRO,CRO,100.0,,,USD,12.39,12.39,crypto_purchase,
2022-07-01 15:06:06,Buy VVS,VVS,1000000.0,,,USD,6.11,6.11,crypto_purchase,
2022-07-01 15:03:02,Buy ELON,ELON,25000000.0,,,USD,8.2,8.2,crypto_purchase,
2022-04-24 11:52:48,CRO Rewards,CRO,0.07326559,,,USD,0.03,0.03,referral_card_cashback,
2022-04-13 18:28:37,CRO Rewards,CRO,0.09411355,,,USD,0.04,0.04,referral_card_cashback,
2022-04-12 12:06:17,CRO Rewards,CRO,0.07045462,,,USD,0.03,0.03,referral_card_cashback,
2022-04-08 19:15:34,CRO Rewards,CRO,0.1985013,,,USD,0.09,0.09,referral_card_cashback,
2022-03-17 11:56:21,CRO Rewards,CRO,0.32061647,,,USD,0.13,0.13,referral_card_cashback,
2022-02-19 18:37:52,CRO Rewards,CRO,0.20405217,,,USD,0.09,0.09,referral_card_cashback,
2022-02-18 13:42:49,Buy CRO,CRO,25.0,,,USD,11.38,11.38,crypto_purchase,
2022-01-27 11:19:37,CRO Rewards,CRO,0.04986431,,,USD,0.02,0.02,referral_card_cashback,
2022-01-21 13:16:52,CRO Rewards,CRO,0.024915,,,USD,0.01,0.01,referral_card_cashback,
2022-01-20 12:59:28,CRO Rewards,CRO,0.04427206,,,USD,0.02,0.02,referral_card_cashback,
2022-01-19 13:07:32,CRO Rewards,CRO,0.09051652,,,USD,0.04,0.04,referral_card_cashback,
2022-01-18 16:37:53,CRO Rewards,CRO,0.317842,,,USD,0.14,0.14,referral_card_cashback,
2022-01-09 21:05:54,CRO Rewards,CRO,0.06330807,,,USD,0.03,0.03,referral_card_cashback,
2022-01-08 14:32:24,CRO Rewards,CRO,0.0840967,,,USD,0.04,0.04,referral_card_cashback,
2022-01-07 18:11:20,CRO Rewards,CRO,0.10486373,,,USD,0.05,0.05,referral_card_cashback,
2022-01-07 13:16:06,CRO Rewards,CRO,0.04105718,,,USD,0.02,0.02,referral_card_cashback,
2022-01-07 13:09:53,Buy VVS,VVS,100000.0,,,USD,4.29,4.29,crypto_purchase,
2022-01-07 13:08:18,Buy CRO,CRO,10.0,,,USD,4.88,4.88,crypto_purchase,
2022-01-06 01:21:45,CRO Rewards,CRO,0.01956076,,,USD,0.01,0.01,referral_card_cashback,
2022-01-04 17:24:16,CRO Rewards,CRO,0.01764035,,,USD,0.01,0.01,referral_card_cashback,
2022-01-03 13:01:41,CRO Rewards,CRO,0.06837473,,,USD,0.04,0.04,referral_card_cashback,
